DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200609022,4/13/2020 0:00,4/13/2020 0:00,1000,6,Hollywood,663,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0603 1822,44,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1200 N  MC CADDEN                    PL,,34.0932,-118.3375
200906313,2/21/2020 0:00,2/20/2020 0:00,2200,9,Van Nuys,901,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,15500    SHERMAN                      WY,,34.2085,-118.4698
200511656,7/10/2020 0:00,7/10/2020 0:00,930,5,Harbor,519,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1000 E  COLON                        ST,,33.7915,-118.2511
200405027,1/22/2020 0:00,1/21/2020 0:00,1000,4,Hollenbeck,412,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0701 1822 1202,82,M,H,504,OTHER RESIDENCE,,,IC,Invest Cont,341,,,,3000    PASADENA                     AV,,34.0762,-118.2167
200619238,12/14/2020 0:00,12/10/2020 0:00,1500,6,Hollywood,647,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 1501,0,X,X,102,SIDEWALK,,,IC,Invest Cont,341,,,,6200    HOLLYWOOD                    BL,,34.1016,-118.3252
200511868,7/15/2020 0:00,7/11/2020 0:00,1900,5,Harbor,587,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 0429,54,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,3400 S  DENISON                      AV,,33.7115,-118.2889
200512783,8/8/2020 0:00,8/8/2020 0:00,2120,5,Harbor,567,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 0432 0917 2004,24,F,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,PACIFIC                      AV,22ND                         ST,33.7243,-118.288
200812213,7/23/2020 0:00,6/22/2020 0:00,2005,8,West LA,898,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",913,42,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,956,,,,2800 S  BEDFORD                      ST,,34.0346,-118.3857
201005385,2/2/2020 0:00,1/25/2020 0:00,900,10,West Valley,1033,2,649,DOCUMENT FORGERY / STOLEN FELONY,0800 1822 1915,50,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,6100    TOPHAM REGENCY               LN,,34.1806,-118.5432
200706765,2/29/2020 0:00,2/28/2020 0:00,1730,7,Wilshire,765,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1309 1609,41,F,H,108,PARKING LOT,,,IC,Invest Cont,740,,,,4700 W  PICO                         BL,,34.0486,-118.3385
200512754,8/8/2020 0:00,8/8/2020 0:00,120,5,Harbor,557,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0448 1814 2000,23,F,H,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,200 S  GAFFEY                       ST,,33.7419,-118.2923
201225578,12/2/2020 0:00,12/1/2020 0:00,2300,12,77th Street,1257,1,510,VEHICLE - STOLEN,,0,,,103,ALLEY,,,IC,Invest Cont,510,,,,800 W  78TH                         ST,,33.9688,-118.2873
